mask,name,tier,elements,graph_id,resolve_mechanics,death_mechanics
0x58,Ruin Crimson Umbral Crucible,Compound,Physical + Blood + Void,d63ca474720085d6,Push[Physical->Physical|m=0.630|r=3.420|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.134|r=3.420|d=2.250|n=1|delay=0.000]; Execute[Blood->Blood|m=0.390|r=3.420|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.710|r=3.420|d=5.000|n=2|delay=0.000]; Pull[Void->Void|m=0.590|r=4.120|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.600|r=3.920|d=0.000|n=2|delay=0.400]; DetonateBuildup[Physical->Physical|Blood|m=0.800|r=4.000|d=0.000|n=1|delay=0.000]; Push[Blood->Physical|Blood|m=0.760|r=4.200|d=0.000|n=1|delay=0.000]; Compression[Void->Physical|Void|m=0.900|r=5.000|d=1.200|n=3|delay=0.180]; DelayedEcho[Physical->Physical|Void|m=0.820|r=4.400|d=0.000|n=2|delay=0.440]; DelayedEcho[Void->Blood|Void|m=0.920|r=4.600|d=0.000|n=3|delay=0.460]; Execute[Blood->Blood|Void|m=0.550|r=4.200|d=0.000|n=1|delay=0.000]; DelayedEcho[Blood->Physical|Blood|Void|m=0.825|r=4.770|d=4.050|n=7|delay=0.270],Burst[Blood->Physical|Blood|Void|m=1.320|r=4.760|d=0.000|n=1|delay=0.000]; DetonateBuildup[Blood->Physical|Blood|Void|m=1.020|r=4.900|d=0.000|n=1|delay=0.000]; ShardNova[Blood->Physical|Blood|Void|m=0.775|r=4.430|d=4.250|n=5|delay=0.380]; SplitFields[Blood->Physical|Blood|Void|m=0.650|r=4.500|d=6.100|n=5|delay=0.000]; Pull[Void->Void|m=0.720|r=5.700|d=0.000|n=1|delay=0.000]
0x68,Ruin Miasma Umbral Bloom,Compound,Physical + Toxic + Void,127228dd8881d9ab,Push[Physical->Physical|m=0.630|r=3.500|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.134|r=3.500|d=2.250|n=1|delay=0.000]; Field[Toxic->Toxic|m=0.420|r=2.870|d=5.550|n=7|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.670|r=3.500|d=5.500|n=2|delay=0.000]; Pull[Void->Void|m=0.590|r=4.200|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.600|r=4.000|d=0.000|n=2|delay=0.400]; SplitFields[Toxic->Physical|Toxic|m=0.550|r=4.200|d=5.000|n=6|delay=0.000]; Push[Physical->Physical|Toxic|m=0.580|r=4.800|d=0.000|n=1|delay=0.000]; Compression[Void->Physical|Void|m=0.900|r=5.000|d=1.200|n=3|delay=0.180]; DelayedEcho[Physical->Physical|Void|m=0.820|r=4.400|d=0.000|n=2|delay=0.440]; Field[Void->Toxic|Void|m=0.600|r=4.500|d=6.000|n=8|delay=0.000]; Pull[Void->Toxic|Void|m=0.580|r=5.000|d=0.000|n=1|delay=0.000]; FieldSurge[Toxic->Physical|Toxic|Void|m=0.825|r=4.770|d=4.050|n=7|delay=0.270],Burst[Toxic->Physical|Toxic|Void|m=1.320|r=4.760|d=0.000|n=1|delay=0.000]; DetonateBuildup[Toxic->Physical|Toxic|Void|m=1.020|r=4.900|d=0.000|n=1|delay=0.000]; ShardNova[Toxic->Physical|Toxic|Void|m=0.750|r=4.770|d=4.450|n=7|delay=0.160]; SplitFields[Toxic->Physical|Toxic|Void|m=0.650|r=4.500|d=6.100|n=5|delay=0.000]; Pull[Void->Void|m=0.720|r=5.700|d=0.000|n=1|delay=0.000]
0x70,Crimson Miasma Umbral Triune,Compound,Blood + Toxic + Void,bcfbce6e50a24e21,Execute[Blood->Blood|m=0.390|r=3.740|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.710|r=3.740|d=5.000|n=2|delay=0.000]; Field[Toxic->Toxic|m=0.420|r=3.067|d=5.550|n=7|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.670|r=3.740|d=5.500|n=2|delay=0.000]; Pull[Void->Void|m=0.590|r=4.440|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.600|r=4.240|d=0.000|n=2|delay=0.400]; Contagion[Toxic->Blood|Toxic|m=0.820|r=5.000|d=5.500|n=6|delay=0.000]; Execute[Blood->Blood|Toxic|m=0.480|r=4.000|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Blood|Void|m=0.920|r=4.600|d=0.000|n=3|delay=0.460]; Execute[Blood->Blood|Void|m=0.550|r=4.200|d=0.000|n=1|delay=0.000]; Field[Void->Toxic|Void|m=0.600|r=4.500|d=6.000|n=8|delay=0.000]; Pull[Void->Toxic|Void|m=0.580|r=5.000|d=0.000|n=1|delay=0.000]; DelayedEcho[Toxic->Blood|Toxic|Void|m=0.825|r=4.770|d=4.050|n=5|delay=0.270],Burst[Toxic->Blood|Toxic|Void|m=1.320|r=4.760|d=0.000|n=1|delay=0.000]; DetonateBuildup[Toxic->Blood|Toxic|Void|m=1.020|r=4.900|d=0.000|n=1|delay=0.000]; ShardNova[Toxic->Blood|Toxic|Void|m=0.850|r=4.770|d=4.050|n=6|delay=0.490]; SplitFields[Toxic->Blood|Toxic|Void|m=0.650|r=4.500|d=6.100|n=5|delay=0.000]; Pull[Void->Void|m=0.720|r=5.700|d=0.000|n=1|delay=0.000]
0x0F,Cinder–Rime–Volt–Ruin Event,Catastrophe,Fire + Cold + Lightning + Physical,285943af8df1c6ac,BuildupWave[Fire->Fire|m=0.870|r=4.080|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.440|r=2.938|d=4.800|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.080|d=1.090|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.650|r=4.880|d=1.800|n=9|delay=0.000]; ChainArc[Lightning->Lightning|m=0.720|r=5.880|d=0.000|n=6|delay=0.000]; Push[Physical->Physical|m=0.700|r=4.080|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.152|r=4.080|d=2.500|n=1|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; OrbitingNodes[Lightning->Fire|Lightning|m=0.780|r=4.200|d=4.500|n=3|delay=0.000]; ChainArc[Fire->Fire|Lightning|m=0.720|r=5.200|d=0.000|n=4|delay=0.000]; Rebound[Physical->Fire|Physical|m=0.850|r=4.000|d=1.000|n=2|delay=0.220]; Field[Fire->Fire|Physical|m=0.380|r=2.500|d=3.200|n=4|delay=0.000]; ChainArc[Lightning->Cold|Lightning|m=0.820|r=6.000|d=0.000|n=6|delay=0.000]; Freeze[Cold->Cold|Lightning|m=0.000|r=3.400|d=1.100|n=1|delay=0.000]; ShardNova[Cold->Cold|Physical|m=0.850|r=5.000|d=2.000|n=10|delay=0.000]; Stagger[Physical->Cold|Physical|m=0.520|r=4.000|d=1.600|n=2|delay=0.000]; PulseNova[Lightning->Lightning|Physical|m=0.800|r=4.800|d=2.400|n=4|delay=0.050]; Push[Physical->Lightning|Physical|m=0.900|r=4.400|d=0.000|n=1|delay=0.000]; ShardNova[Lightning->Fire|Cold|Lightning|Physical|m=0.915|r=5.190|d=4.600|n=6|delay=0.270]; Contagion[Lightning->Fire|Cold|Lightning|Physical|m=1.015|r=4.680|d=4.800|n=9|delay=0.160]; PulseNova[Lightning->Fire|Cold|Lightning|Physical|m=0.940|r=5.200|d=4.400|n=6|delay=0.080]; Field[Lightning->Fire|Cold|Lightning|Physical|m=0.620|r=4.400|d=7.300|n=8|delay=0.000],Burst[Lightning->Fire|Cold|Lightning|Physical|m=1.460|r=5.280|d=0.000|n=1|delay=0.000]; DetonateBuildup[Lightning->Fire|Cold|Lightning|Physical|m=1.120|r=5.400|d=0.000|n=1|delay=0.000]; DelayedEcho[Lightning->Fire|Cold|Lightning|Physical|m=0.940|r=5.020|d=4.600|n=6|delay=0.270]; SplitFields[Lightning->Fire|Cold|Lightning|Physical|m=0.720|r=5.000|d=6.800|n=6|delay=0.000]; ChainArc[Lightning->Fire|Cold|Lightning|Physical|m=0.990|r=7.000|d=0.000|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.900|d=1.340|n=1|delay=0.000]
0x17,Cinder–Rime–Volt–Crimson Event,Catastrophe,Fire + Cold + Lightning + Blood,0af1c55080b4328d,BuildupWave[Fire->Fire|m=0.870|r=3.920|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.440|r=2.822|d=4.800|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=3.920|d=1.090|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.650|r=4.720|d=1.800|n=9|delay=0.000]; ChainArc[Lightning->Lightning|m=0.720|r=5.720|d=0.000|n=6|delay=0.000]; Execute[Blood->Blood|m=0.440|r=3.920|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.780|r=3.920|d=5.000|n=2|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; OrbitingNodes[Lightning->Fire|Lightning|m=0.780|r=4.200|d=4.500|n=3|delay=0.000]; ChainArc[Fire->Fire|Lightning|m=0.720|r=5.200|d=0.000|n=4|delay=0.000]; Execute[Blood->Fire|Blood|m=0.620|r=3.300|d=0.000|n=1|delay=0.000]; Contagion[Fire->Fire|Blood|m=0.580|r=4.000|d=4.500|n=3|delay=0.000]; ChainArc[Lightning->Cold|Lightning|m=0.820|r=6.000|d=0.000|n=6|delay=0.000]; Freeze[Cold->Cold|Lightning|m=0.000|r=3.400|d=1.100|n=1|delay=0.000]; ShardNova[Blood->Cold|Blood|m=0.680|r=4.400|d=2.400|n=8|delay=0.000]; Execute[Blood->Cold|Blood|m=0.520|r=3.800|d=0.000|n=1|delay=0.000]; ChainArc[Blood->Lightning|Blood|m=0.720|r=5.500|d=0.000|n=5|delay=0.000]; Contagion[Lightning->Lightning|Blood|m=0.480|r=4.200|d=4.000|n=4|delay=0.000]; DetonateBuildup[Blood->Fire|Cold|Lightning|Blood|m=0.915|r=5.190|d=4.600|n=8|delay=0.270]; TrailLine[Blood->Fire|Cold|Lightning|Blood|m=0.915|r=4.850|d=4.800|n=7|delay=0.270]; PulseNova[Blood->Fire|Cold|Lightning|Blood|m=0.940|r=5.200|d=4.400|n=6|delay=0.080]; Field[Blood->Fire|Cold|Lightning|Blood|m=0.620|r=4.400|d=7.300|n=8|delay=0.000],Burst[Blood->Fire|Cold|Lightning|Blood|m=1.460|r=5.280|d=0.000|n=1|delay=0.000]; DetonateBuildup[Blood->Fire|Cold|Lightning|Blood|m=1.120|r=5.400|d=0.000|n=1|delay=0.000]; DelayedEcho[Blood->Fire|Cold|Lightning|Blood|m=1.015|r=5.190|d=5.000|n=8|delay=0.160]; SplitFields[Blood->Fire|Cold|Lightning|Blood|m=0.720|r=5.000|d=6.800|n=6|delay=0.000]; ChainArc[Lightning->Fire|Cold|Lightning|Blood|m=0.990|r=7.000|d=0.000|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.900|d=1.340|n=1|delay=0.000]
0x27,Cinder–Rime–Volt–Miasma Event,Catastrophe,Fire + Cold + Lightning + Toxic,b2709eda901dd467,BuildupWave[Fire->Fire|m=0.870|r=4.000|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.440|r=2.880|d=4.800|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.000|d=1.090|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.650|r=4.800|d=1.800|n=9|delay=0.000]; ChainArc[Lightning->Lightning|m=0.720|r=5.800|d=0.000|n=6|delay=0.000]; Field[Toxic->Toxic|m=0.460|r=3.280|d=6.000|n=8|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.740|r=4.000|d=5.500|n=2|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; OrbitingNodes[Lightning->Fire|Lightning|m=0.780|r=4.200|d=4.500|n=3|delay=0.000]; ChainArc[Fire->Fire|Lightning|m=0.720|r=5.200|d=0.000|n=4|delay=0.000]; DelayedEcho[Fire->Fire|Toxic|m=1.050|r=4.200|d=0.000|n=2|delay=0.380]; SplitFields[Toxic->Fire|Toxic|m=0.480|r=3.600|d=4.500|n=4|delay=0.000]; ChainArc[Lightning->Cold|Lightning|m=0.820|r=6.000|d=0.000|n=6|delay=0.000]; Freeze[Cold->Cold|Lightning|m=0.000|r=3.400|d=1.100|n=1|delay=0.000]; SplitFields[Cold->Cold|Toxic|m=0.420|r=3.600|d=5.200|n=5|delay=0.000]; DelayedEcho[Toxic->Cold|Toxic|m=0.720|r=4.100|d=0.000|n=3|delay=0.520]; Field[Lightning->Lightning|Toxic|m=0.520|r=3.800|d=5.500|n=7|delay=0.000]; ChainArc[Toxic->Lightning|Toxic|m=0.660|r=5.800|d=0.000|n=5|delay=0.000]; ShardNova[Fire->Fire|Cold|Lightning|Toxic|m=0.915|r=5.190|d=4.600|n=8|delay=0.270]; Contagion[Fire->Fire|Cold|Lightning|Toxic|m=0.915|r=5.190|d=5.000|n=7|delay=0.490]; PulseNova[Fire->Fire|Cold|Lightning|Toxic|m=0.940|r=5.200|d=4.400|n=6|delay=0.080]; Field[Fire->Fire|Cold|Lightning|Toxic|m=0.620|r=4.400|d=7.300|n=8|delay=0.000],Burst[Fire->Fire|Cold|Lightning|Toxic|m=1.460|r=5.280|d=0.000|n=1|delay=0.000]; DetonateBuildup[Fire->Fire|Cold|Lightning|Toxic|m=1.120|r=5.400|d=0.000|n=1|delay=0.000]; DelayedEcho[Fire->Fire|Cold|Lightning|Toxic|m=1.015|r=4.680|d=4.400|n=6|delay=0.270]; SplitFields[Fire->Fire|Cold|Lightning|Toxic|m=0.720|r=5.000|d=6.800|n=6|delay=0.000]; ChainArc[Lightning->Fire|Cold|Lightning|Toxic|m=0.990|r=7.000|d=0.000|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.900|d=1.340|n=1|delay=0.000]
0x47,Cinder–Rime–Volt–Umbral Event,Catastrophe,Fire + Cold + Lightning + Void,8eeadc957ac620a8,BuildupWave[Fire->Fire|m=0.870|r=3.840|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.440|r=2.765|d=4.800|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=3.840|d=1.090|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.650|r=4.640|d=1.800|n=9|delay=0.000]; ChainArc[Lightning->Lightning|m=0.720|r=5.640|d=0.000|n=6|delay=0.000]; Pull[Void->Void|m=0.670|r=4.540|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.660|r=4.340|d=0.000|n=2|delay=0.440]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; OrbitingNodes[Lightning->Fire|Lightning|m=0.780|r=4.200|d=4.500|n=3|delay=0.000]; ChainArc[Fire->Fire|Lightning|m=0.720|r=5.200|d=0.000|n=4|delay=0.000]; Compression[Void->Fire|Void|m=0.720|r=4.500|d=1.400|n=2|delay=0.240]; Field[Fire->Fire|Void|m=0.440|r=3.000|d=4.800|n=5|delay=0.000]; ChainArc[Lightning->Cold|Lightning|m=0.820|r=6.000|d=0.000|n=6|delay=0.000]; Freeze[Cold->Cold|Lightning|m=0.000|r=3.400|d=1.100|n=1|delay=0.000]; Compression[Void->Cold|Void|m=0.640|r=4.800|d=1.800|n=3|delay=0.200]; Freeze[Cold->Cold|Void|m=0.000|r=4.000|d=1.600|n=1|delay=0.000]; OrbitingNodes[Void->Lightning|Void|m=0.750|r=4.800|d=5.000|n=4|delay=0.000]; Pull[Void->Lightning|Void|m=0.620|r=5.200|d=0.000|n=1|delay=0.000]; DetonateBuildup[Void->Fire|Cold|Lightning|Void|m=0.915|r=5.190|d=4.600|n=8|delay=0.270]; TrailLine[Void->Fire|Cold|Lightning|Void|m=0.940|r=5.190|d=4.600|n=8|delay=0.490]; PulseNova[Void->Fire|Cold|Lightning|Void|m=0.940|r=5.200|d=4.400|n=6|delay=0.080]; Field[Void->Fire|Cold|Lightning|Void|m=0.620|r=4.400|d=7.300|n=8|delay=0.000],Burst[Void->Fire|Cold|Lightning|Void|m=1.460|r=5.280|d=0.000|n=1|delay=0.000]; DetonateBuildup[Void->Fire|Cold|Lightning|Void|m=1.120|r=5.400|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Fire|Cold|Lightning|Void|m=0.990|r=4.680|d=4.800|n=6|delay=0.160]; SplitFields[Void->Fire|Cold|Lightning|Void|m=0.720|r=5.000|d=6.800|n=6|delay=0.000]; ChainArc[Lightning->Fire|Cold|Lightning|Void|m=0.990|r=7.000|d=0.000|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.900|d=1.340|n=1|delay=0.000]; Pull[Void->Void|m=0.720|r=6.200|d=0.000|n=1|delay=0.000]
0x1B,Cinder–Rime–Ruin–Crimson Event,Catastrophe,Fire + Cold + Physical + Blood,30cfdd75410501f1,BuildupWave[Fire->Fire|m=0.870|r=4.080|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.440|r=2.938|d=4.800|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.080|d=1.090|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.650|r=4.880|d=1.800|n=9|delay=0.000]; Push[Physical->Physical|m=0.700|r=4.080|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.152|r=4.080|d=2.500|n=1|delay=0.000]; Execute[Blood->Blood|m=0.440|r=4.080|d=0.000|n=1|delay=0.000]; BuildupWave[Blood->Blood|m=0.780|r=4.080|d=5.000|n=2|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; Rebound[Physical->Fire|Physical|m=0.850|r=4.000|d=1.000|n=2|delay=0.220]; Field[Fire->Fire|Physical|m=0.380|r=2.500|d=3.200|n=4|delay=0.000]; Execute[Blood->Fire|Blood|m=0.620|r=3.300|d=0.000|n=1|delay=0.000]; Contagion[Fire->Fire|Blood|m=0.580|r=4.000|d=4.500|n=3|delay=0.000]; ShardNova[Cold->Cold|Physical|m=0.850|r=5.000|d=2.000|n=10|delay=0.000]; Stagger[Physical->Cold|Physical|m=0.520|r=4.000|d=1.600|n=2|delay=0.000]; ShardNova[Blood->Cold|Blood|m=0.680|r=4.400|d=2.400|n=8|delay=0.000]; Execute[Blood->Cold|Blood|m=0.520|r=3.800|d=0.000|n=1|delay=0.000]; DetonateBuildup[Physical->Physical|Blood|m=0.800|r=4.000|d=0.000|n=1|delay=0.000]; Push[Blood->Physical|Blood|m=0.760|r=4.200|d=0.000|n=1|delay=0.000]; ShardNova[Blood->Fire|Cold|Physical|Blood|m=1.015|r=5.190|d=5.000|n=9|delay=0.490]; Contagion[Blood->Fire|Cold|Physical|Blood|m=0.865|r=4.850|d=4.800|n=6|delay=0.270]; PulseNova[Blood->Fire|Cold|Physical|Blood|m=0.940|r=5.200|d=4.400|n=6|delay=0.080]; Field[Blood->Fire|Cold|Physical|Blood|m=0.620|r=4.400|d=7.300|n=8|delay=0.000],Burst[Blood->Fire|Cold|Physical|Blood|m=1.460|r=5.280|d=0.000|n=1|delay=0.000]; DetonateBuildup[Blood->Fire|Cold|Physical|Blood|m=1.120|r=5.400|d=0.000|n=1|delay=0.000]; DelayedEcho[Blood->Fire|Cold|Physical|Blood|m=0.965|r=4.850|d=4.800|n=8|delay=0.490]; SplitFields[Blood->Fire|Cold|Physical|Blood|m=0.720|r=5.000|d=6.800|n=6|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.900|d=1.340|n=1|delay=0.000]
0x2B,Cinder–Rime–Ruin–Miasma Event,Catastrophe,Fire + Cold + Physical + Toxic,c38383cae1430b81,BuildupWave[Fire->Fire|m=0.870|r=3.760|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.440|r=2.707|d=4.800|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=3.760|d=1.090|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.650|r=4.560|d=1.800|n=9|delay=0.000]; Push[Physical->Physical|m=0.700|r=3.760|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.152|r=3.760|d=2.500|n=1|delay=0.000]; Field[Toxic->Toxic|m=0.460|r=3.083|d=6.000|n=8|delay=0.000]; BuildupWave[Toxic->Toxic|m=0.740|r=3.760|d=5.500|n=2|delay=0.000]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; Rebound[Physical->Fire|Physical|m=0.850|r=4.000|d=1.000|n=2|delay=0.220]; Field[Fire->Fire|Physical|m=0.380|r=2.500|d=3.200|n=4|delay=0.000]; DelayedEcho[Fire->Fire|Toxic|m=1.050|r=4.200|d=0.000|n=2|delay=0.380]; SplitFields[Toxic->Fire|Toxic|m=0.480|r=3.600|d=4.500|n=4|delay=0.000]; ShardNova[Cold->Cold|Physical|m=0.850|r=5.000|d=2.000|n=10|delay=0.000]; Stagger[Physical->Cold|Physical|m=0.520|r=4.000|d=1.600|n=2|delay=0.000]; SplitFields[Cold->Cold|Toxic|m=0.420|r=3.600|d=5.200|n=5|delay=0.000]; DelayedEcho[Toxic->Cold|Toxic|m=0.720|r=4.100|d=0.000|n=3|delay=0.520]; SplitFields[Toxic->Physical|Toxic|m=0.550|r=4.200|d=5.000|n=6|delay=0.000]; Push[Physical->Physical|Toxic|m=0.580|r=4.800|d=0.000|n=1|delay=0.000]; ThermalCycle[Cold->Fire|Cold|Physical|Toxic|m=1.015|r=5.190|d=5.000|n=9|delay=0.490]; OrbitingNodes[Cold->Fire|Cold|Physical|Toxic|m=0.865|r=5.190|d=5.000|n=6|delay=0.490]; PulseNova[Cold->Fire|Cold|Physical|Toxic|m=0.940|r=5.200|d=4.400|n=6|delay=0.080]; Field[Cold->Fire|Cold|Physical|Toxic|m=0.620|r=4.400|d=7.300|n=8|delay=0.000],Burst[Cold->Fire|Cold|Physical|Toxic|m=1.460|r=5.280|d=0.000|n=1|delay=0.000]; DetonateBuildup[Cold->Fire|Cold|Physical|Toxic|m=1.120|r=5.400|d=0.000|n=1|delay=0.000]; DelayedEcho[Cold->Fire|Cold|Physical|Toxic|m=0.965|r=5.190|d=5.000|n=6|delay=0.270]; SplitFields[Cold->Fire|Cold|Physical|Toxic|m=0.720|r=5.000|d=6.800|n=6|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.900|d=1.340|n=1|delay=0.000]
0x4B,Cinder–Rime–Ruin–Umbral Event,Catastrophe,Fire + Cold + Physical + Void,7c4f30b226752e51,BuildupWave[Fire->Fire|m=0.870|r=3.920|d=4.500|n=2|delay=0.000]; Field[Fire->Fire|m=0.440|r=2.822|d=4.800|n=7|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=3.920|d=1.090|n=1|delay=0.000]; ShardNova[Cold->Cold|m=0.650|r=4.720|d=1.800|n=9|delay=0.000]; Push[Physical->Physical|m=0.700|r=3.920|d=0.000|n=1|delay=0.000]; Vulnerability[Physical->Physical|m=0.152|r=3.920|d=2.500|n=1|delay=0.000]; Pull[Void->Void|m=0.670|r=4.620|d=0.000|n=1|delay=0.000]; DelayedEcho[Void->Void|m=0.660|r=4.420|d=0.000|n=2|delay=0.440]; ThermalCycle[Fire->Fire|Cold|m=0.920|r=3.200|d=3.800|n=5|delay=0.120]; Stagger[Physical->Fire|Cold|m=0.350|r=3.000|d=1.200|n=1|delay=0.000]; Rebound[Physical->Fire|Physical|m=0.850|r=4.000|d=1.000|n=2|delay=0.220]; Field[Fire->Fire|Physical|m=0.380|r=2.500|d=3.200|n=4|delay=0.000]; Compression[Void->Fire|Void|m=0.720|r=4.500|d=1.400|n=2|delay=0.240]; Field[Fire->Fire|Void|m=0.440|r=3.000|d=4.800|n=5|delay=0.000]; ShardNova[Cold->Cold|Physical|m=0.850|r=5.000|d=2.000|n=10|delay=0.000]; Stagger[Physical->Cold|Physical|m=0.520|r=4.000|d=1.600|n=2|delay=0.000]; Compression[Void->Cold|Void|m=0.640|r=4.800|d=1.800|n=3|delay=0.200]; Freeze[Cold->Cold|Void|m=0.000|r=4.000|d=1.600|n=1|delay=0.000]; Compression[Void->Physical|Void|m=0.900|r=5.000|d=1.200|n=3|delay=0.180]; DelayedEcho[Physical->Physical|Void|m=0.820|r=4.400|d=0.000|n=2|delay=0.440]; ShardNova[Fire->Fire|Cold|Physical|Void|m=1.015|r=5.190|d=5.000|n=9|delay=0.490]; Contagion[Fire->Fire|Cold|Physical|Void|m=0.890|r=5.190|d=4.600|n=7|delay=0.490]; PulseNova[Fire->Fire|Cold|Physical|Void|m=0.940|r=5.200|d=4.400|n=6|delay=0.080]; Field[Fire->Fire|Cold|Physical|Void|m=0.620|r=4.400|d=7.300|n=8|delay=0.000],Burst[Fire->Fire|Cold|Physical|Void|m=1.460|r=5.280|d=0.000|n=1|delay=0.000]; DetonateBuildup[Fire->Fire|Cold|Physical|Void|m=1.120|r=5.400|d=0.000|n=1|delay=0.000]; DelayedEcho[Fire->Fire|Cold|Physical|Void|m=0.940|r=5.020|d=4.600|n=6|delay=0.160]; SplitFields[Fire->Fire|Cold|Physical|Void|m=0.720|r=5.000|d=6.800|n=6|delay=0.000]; Freeze[Cold->Cold|m=0.000|r=4.900|d=1.340|n=1|delay=0.000]; Pull[Void->Void|m=0.720|r=6.200|d=0.000|n=1|delay=0.000]
